spotify_id,name,followers,popularity,genres,chart_hits,simplified_genres,main_genre
1I7oHjCjMrMUz66v67yJJu,Joshua Hyslop,53550.0,57,"['acoustic pop', 'indie folk', 'indiecoustica', 'neo mellow', 'pop rock', 'uk pop', 'viral pop']",['se (1)'],"['Pop', 'Folk', 'Other', 'Other', 'Rock', 'Pop', 'Pop']",Pop
5VTWoYYizcOY3uIKnxeCGI,La Femme,369163.0,56,"['french indie pop', 'french indietronica', 'french psychedelic', 'french rock']",['fr (1)'],"['Pop', 'Other', 'Other', 'Rock']",Pop
7cYEt1pqMgXJdq00hAwVpT,Chase Atlantic,3655974.0,79,['pop'],"['us (1)', 'gb (1)', 'au (1)', 'at (1)', 'bg (5)', 'ca (1)', 'cy (3)', 'cz (1)', 'eg (1)', 'ee (3)', 'fi (1)', 'de (1)', 'gr (2)', 'hu (2)', 'lv (3)', 'lt (2)', 'lu (1)', 'my (3)', 'ma (1)', 'no (1)', 'pt (2)', 'ro (5)', 'sa (1)', 'sg (2)', 'sk (2)', 'za (1)', 'ch (1)', 'ae (3)']",['Pop'],Pop
21451j1KhjAiaYKflxBjr1,Zion & Lennox,6693496.0,79,"['latin hip hop', 'reggaeton', 'trap latino']","['ar (12)', 'at (1)', 'be (1)', 'bo (12)', 'bg (2)', 'cl (21)', 'co (13)', 'cr (10)', 'cy (1)', 'cz (1)', 'do (14)', 'ec (11)', 'sv (12)', 'ee (1)', 'de (1)', 'gr (1)', 'gt (11)', 'hn (11)', 'hu (2)', 'it (2)', 'lv (1)', 'lt (1)', 'lu (2)', 'mt (3)', 'mx (8)', 'nl (1)', 'ni (10)', 'pa (12)', 'py (18)', 'pe (12)', 'pl (1)', 'pt (3)', 'ro (1)', 'sa (1)', 'sk (2)', 'es (15)', 'ch (3)', 'tr (1)', 'ae (1)', 'uy (13)']","['Hip-Hop', 'Latin', 'Other']",Hip-Hop
7B9Gg9epjQzfNGdxijFczG,MUPP,30260.0,69,"['drift phonk', 'hyperpop']","['at (1)', 'bg (1)', 'cy (1)', 'cz (1)', 'ee (1)', 'fi (1)', 'lv (1)', 'lt (1)', 'ro (1)', 'sa (1)', 'sk (1)', 'tr (1)', 'ua (1)', 'ae (1)']","['Other', 'Pop']",Pop
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,615931.0,69,['k-pop'],"['hk (1)', 'id (1)', 'jp (1)', 'my (3)', 'ph (2)', 'sa (1)', 'sg (3)', 'kr (4)', 'tw (1)', 'th (3)', 'ae (1)', 'vn (2)']",['Pop'],Pop
6Ge3YISmUWPCUcSVx8VGor,Keenan Te,83424.0,59,"['gen z singer-songwriter', 'pop']",['id (1)'],"['Other', 'Pop']",Pop
42k1aOQmLqy5YQmqJ2zq8s,Shaan Rahman,447569.0,58,"['filmi', 'mollywood']","['in (1)', 'ae (1)']","['Other', 'Other']",Other
3jO7X5KupvwmWTHGtHgcgo,Charly García,1309723.0,63,"['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'rock nacional']",['ar (7)'],"['Rock', 'Other', 'Rock', 'Other', 'Other', 'Other']",Rock
2LAqcqAQ8KPTsl1HBgBrqM,Michelle Williams,9631.0,58,['hollywood'],"['us (1)', 'gb (1)', 'au (1)', 'hk (1)', 'id (1)', 'ie (1)', 'jp (1)', 'my (1)', 'mt (1)', 'mx (1)', 'nz (1)', 'ph (1)', 'sg (1)', 'tw (1)']",['Other'],Other
